scheme, proof_size(B), group_size, signing_time(ms), verifying_time(ms)
DID:RING, 160, 4, 0.286100, 0.352400
DID:RING, 288, 8, 0.576800, 0.599800
DID:RING, 544, 16, 1.162900, 1.252500
DID:RING, 1056, 32, 2.431600, 2.669800
DID:RING, 2080, 64, 4.912200, 4.910000
DID:RING, 4160, 128, 9.853800, 9.896700
DID:RING, 8224, 256, 20.049700, 20.035400
DID:RING, 16416, 512, 40.882000, 40.170400
DID:RING, 32800, 1024, 83.042700, 82.593900
